Posicion,Album,Nombre del artista,Numero de canciones de primer lugar,Numero de canciones en el top 10,Numero de canciones en el top 100
1,Hollywood's Bleeding,Post Malone,0,0,8
2,My Turn,Lil Baby,0,4,33
3,Please Excuse Me For Being Antisocial,Roddy Ricch,0,1,6
4,Fine Line,Harry Styles,0,1,4
5,Folklore,Taylor Swift,2,18,26
6,Eternal Atake,Lil Uzi Vert,0,0,15
7,Shoot For The Stars Aim For The Moon,Pop Smoke,0,1,25
8,After Hours,The Weeknd,1,4,18
9,Legends Never Die,Juice WRLD,0,0,14
10,What You See Is What You Get,Luke Combs,0,1,7
11,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,0,3,22
12,Hamilton: An American Musical,Original Broadway Cast,0,3,59
13,Frozen II,Soundtrack,76,287,1734
14,YHLQMDLG,Bad Bunny,1,4,24
15,Lover,Taylor Swift,2,18,26
16,BLAME IT ON BABY,DaBaby,0,2,11
17,Over It,Summer Walker,0,1,1
18,Goodbye & Good Riddance,Juice WRLD,0,0,14
19,KIRK,DaBaby,0,2,11
20,MAP OF THE SOUL : 7,BTS,4,6,15
21,Music To Be Murdered By,Eminem,0,0,5
22,This One's For You,Luke Combs,0,1,7
23,beerbongs & bentleys,Post Malone,0,0,8
24,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,0,0,2
25,Greatest Hits,Queen,1,4,5
26,Changes,Justin Bieber,2,7,25
27,Manic,Halsey,0,0,6
28,Dark Lane Demo Tapes,Drake,1,13,41
29,If I Know Me,Morgan Wallen,0,0,21
30,AI YoungBoy 2,YoungBoy Never Broke Again,0,0,11
31,A Love Letter To You 4,Trippie Redd,0,0,11
32,ASTROWORLD,Travis Scott,0,2,12
33,Pray 4 Love,Rod Wave,0,0,12
34,Death Race For Love,Juice WRLD,0,0,14
35,Ghetto Gospel,Rod Wave,0,0,12
36,Chilombo,Jhene Aiko,0,0,2
37,Hot Pink,Doja Cat,0,4,22
38,So Much Fun,Young Thug,0,2,18
39,JACKBOYS,JACKBOYS,1,13,41
41,Cuz I Love You,Lizzo,0,0,1
42,Dont Smile At Me,Billie Eilish,0,3,22
43,The GOAT,Polo G,0,1,27
44,Diamonds,Elton John,0,2,2
45,Stoney,Post Malone,0,0,8
46,Wunna,Gunna,0,1,9
47,High Off Life,Future,0,1,15
48,Artist 2.0,A Boogie Wit da Hoodie,0,0,1
49,"Meet The Woo, V.2",Pop Smoke,0,1,25
50,Chromatica,Lady Gaga,0,0,2
51,Indigo,Chris Brown,0,0,5
52,Time Served,Moneybagg Yo,0,2,3
53,Rumours,Fleetwood Mac,0,1,2
54,Fully Loaded: God's Country,Blake Shelton,0,0,1
55,Free Spirit,Khalid,0,0,5
56,Romance,Camila Cabello,0,0,2
57,"Thank U, Next",Ariana Grande,1,4,23
58,Suga,Megan Thee Stallion,2,3,16
59,?,XXXTENTACION,0,0,1
60,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,1,2,9
62,Future Nostalgia,Dua Lipa,0,1,11
63,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty,0,1,21
65,÷ (Divide),Ed Sheeran,1,2,9
66,Abbey Road,The Beatles,0,0,4
67,Traveller,Chris Stapleton,0,0,3
68,American Teen,Khalid,0,0,5
